Solar,Wind
0,0
0.03243483,0
0.14983894,0
0.27324843,0
0.35901433,0.026333012
0.40089473,0.059148833
0.39047024,0.056304645
0.32023862,0.05125935
0.21940503,0.07168746
0.083397865,0.2151898
0.002673208,0.36198297
0,0.3402252
0,0.27175555
0,0.15839712
0,0.08560872
0,0.049014464
0,0.013160134
0,0
0,0
0,0
0,0.009299958
0,0.008120477
0,0
0,0
0,0
0.03250852,0
0.15445925,0
0.28365386,0
0.37517032,0.030031037
0.40805164,0.079563476
0.3954237,0.124684535
0.33159718,0.13644494
0.22133078,0.102316074
0.085538216,0.11091233
0.003027462,0.12865782
0,0.14863706
0,0.13869499
0,0.17644669
0,0.22586904
0,0.27821803
0,0.31483746
0,0.31128263
0,0.26824677
0,0.23557325
0,0.22511403
0,0.249625
0,0.10305514
0,0.06885726
0,0.08923936
0.032132488,0.20703946
0.15460736,0.1756487
0.2777086,0.16251042
0.36942464,0.2211033
0.40777114,0.27613986
0.40090564,0.29723027
0.33890018,0.29780698
0.22871059,0.24643904
0.08970454,0.18922554
0.003489955,0.13965861
0,0.09439786
0,0.069462225
0,0.06002052
0,0.07784009
0,0.09797714
0,0.09922094
0,0.0855026
0,0.06294489
0,0.02042781
0,0
0,0
0,0.015385628
0,0.07216124
0,0.13250335
0.03501697,0.20448893
0.1649197,0.26846817
0.2980634,0.33892506
0.3895643,0.4722229
0.4231145,0.5664925
0.41090336,0.57937115
0.3446761,0.5483356
0.23273443,0.47959092
0.09271025,0.45473927
0.003921061,0.45460728
0,0.40769276
0,0.42323232
0,0.47410253
0,0.501888
0,0.51286876
0,0.486112
0,0.46076992
0,0.41195098
0,0.34525493
0,0.31742004
0,0.3358349
0,0.25912744
0,0.30312416
0,0.40396258
0.03481054,0.4093711
0.16428335,0.39990866
0.29384387,0.3355121
0.38461676,0.43120342
0.41596526,0.6076959
0.39287424,0.6863973
0.32324728,0.76495117
0.19815558,0.77539355
0.07583644,0.8465445
0.003867484,0.69690436
0,0.79840577
0,0.90144295
0,0.9450584
0,0.9507896
0,0.9292639
0,0.8515081
0,0.8106006
0,0.77958506
0,0.7201116
0,0.7149288
0,0.68893176
0,0.6203781
0,0.56564224
0,0.50803673
0.03625594,0.43516123
0.17095079,0.27598643
0.30379015,0.31720823
0.39530507,0.33867773
0.42966464,0.38204032
0.41699016,0.4261421
0.35130197,0.45491758
0.23897846,0.4314388
0.097473614,0.359544
0.004816562,0.3219998
0,0.35860646
0,0.31782135
0,0.2965064
0,0.32099396
0,0.31782854
0,0.26188618
0,0.24217883
0,0.2281498
0,0.23404287
0,0.23788252
0,0.24751347
0,0.17105818
0,0.15998155
0,0.23568183
0.030696422,0.33182353
0.15990083,0.32068884
0.2868083,0.23609829
0.3783146,0.3500685
0.41326547,0.4276546
0.40189144,0.39500612
0.32101685,0.40358454
0.20711453,0.41608712
0.08330879,0.40946725
0.004610206,0.34053877
0,0.3197962
0,0.367148
0,0.35889408
0,0.3013694
0,0.2555642
0,0.18772514
0,0.13927998
0,0.10374191
0,0.089164235
0,0.07248299
0,0.058352064
0,0.08264232
0,0.07888934
0,0.074712776
0.03463709,0.07239807
0.16060711,0.055965852
0.28246832,0
0.35979956,0
0.3697451,0
0.35157165,0.027069569
0.29123026,0.030664658
0.20736983,0.03216841
0.091043934,0.06607082
0.005613696,0.10760791
0,0.07857635
0,0.0495875
0,0.044591416
0,0.04440155
0,0.053657245
0,0.056617737
0,0.04109422
0,0.020399798
0,0
0,0
0,0
0,0
0,0
0,0
0.035482876,0.008331251
0.16246076,0
0.2854264,0
0.37411982,0
0.4073532,0.060422704
0.39855498,0.09770623
0.3393515,0.113939576
0.23467612,0.090434074
0.10119815,0.09897453
0.006459637,0.10459452
0,0.06427446
0,0.031783365
0,0.044959843
0,0.083104014
0,0.13773999
0,0.14585474
0,0.14252567
0,0.14286287
0,0.12856612
0,0.14009948
0,0.15617391
0,0.08201794
0,0.06490028
0,0.06146593
0.036716968,0.07836516
0.16746415,0.12954801
0.2961413,0.114912525
0.3863612,0.19458608
0.42028332,0.19756208
0.40975305,0.19313997
0.34937257,0.19848286
0.24186103,0.17636277
0.10045179,0.27844828
0.007053829,0.3082002
0,0.31601718
0,0.36597764
0,0.4190117
0,0.46724284
0,0.5577998
0,0.5968745
0,0.58607644
0,0.55393285
0,0.55581206
0,0.53296715
0,0.5415649
0,0.45153502
0,0.5268685
0,0.48037574
0.028280461,0.40112585
0.10445884,0.2806595
0.15896603,0.2815681
0.23109996,0.3436484
0.32991797,0.35241276
0.31942132,0.3152966
0.30187237,0.3201731
0.23053586,0.30613986
0.096283264,0.3087027
0.007712726,0.29386032
0,0.3384535
0,0.42319903
0,0.49262422
0,0.5406643
0,0.5553314
0,0.53411347
0,0.48867345
0,0.4353629
0,0.37861964
0,0.3330034
0,0.29028198
0,0.06589339
0,0.08137367
0,0.12591289
0.029953424,0.29064313
0.13587616,0.28473043
0.24197683,0.09482022
0.29559895,0.06871088
0.34357044,0.08309779
0.34327695,0.05393309
0.3210981,0.03316344
0.233133,0.01585777
0.10900374,0.05101967
0.008269078,0
0,0.12905203
0,0.4393742
0,0.4774723
0,0.5124601
0,0.5278558
0,0.6322547
0,0.7599541
0,0.79748493
0,0.7951269
0,0.8293094
0,0.9669676
0,1
0,1
0,1
0.015607245,1
0.06278785,1
0.14048472,1
0.21387897,1
0.26087993,1
0.29878122,1
0.25763527,1
0.1793014,1
0.09247822,1
0.008713691,0.96508145
0,0.9003848
0,0.8695445
0,0.7839184
0,0.7137833
0,0.6615753
0,0.6380874
0,0.55725807
0,0.51329964
0,0.5082044
0,0.44782212
0,0.29808795
0,0.16028135
0,0.076204084
0,0.03793999
0.036575146,0
0.16327125,0.001817417
0.2963177,0.02729187
0.39593637,0.052552436
0.46460664,0.10822325
0.46556735,0.28281894
0.38284713,0.3453239
0.25828037,0.39020082
0.11504163,0.33961847
0.011090002,0.2079395
0,0.22226948
0,0.22015928
0,0.2508779
0,0.3055166
0,0.35882488
0,0.4092038
0,0.50309634
0,0.51483274
0,0.47599468
0,0.41737467
0,0.36656007
0,0.28259677
0,0.29984203
0,0.3151193
0.045950193,0.27892977
0.19984259,0.18851204
0.34632018,0.23834863
0.44729057,0.23831314
0.4885666,0.27904868
0.47999406,0.3536111
0.41374442,0.42031607
0.29564872,0.44666278
0.13997349,0.38658085
0.013422158,0.37434834
0,0.4110123
0,0.48177314
0,0.57601625
0,0.63399315
0,0.6093114
0,0.5774567
0,0.6263309
0,0.6411853
0,0.59768224
0,0.5876071
0,0.652342
0,0.6599302
0,0.67300063
0,0.66999286
0.046210654,0.64278126
0.19812745,0.5499872
0.34470212,0.6961723
0.44739762,0.737747
0.49072322,0.85479647
